neighborhood_municipality,individuals_tested,infections,reinfections,deaths,hospitalizations,tests,postives,ag_tests,positive_ag_tests,pcr_tests,positive_pcr_tests,update_date
Mcdonald,190,559,110,0,3,865,73,375,14,490,59,2023-04-17
Mckees rocks,3665,6547,892,22,113,13071,1537,2697,236,10391,1300,2023-04-17
McKeesport,12903,37157,6236,119,525,63502,6229,19650,883,43864,5345,2023-04-17
Middle Hill (Pittsburgh),984,1504,168,6,51,3056,389,526,55,2530,334,2023-04-17
Millvale,2216,3641,455,4,23,7925,897,1887,182,6034,712,2023-04-17
Monroeville,20795,44048,6066,142,554,83280,8370,23287,2163,59976,6196,2023-04-17
Moon,19340,36519,3955,61,213,72296,7470,28813,2409,43430,5034,2023-04-17
Morningside (Pittsburgh),2308,3362,406,7,44,8031,813,1572,159,6451,652,2023-04-17
Mount Lebanon,26311,42105,4579,97,229,97705,8400,22476,2223,75065,6117,2023-04-17
Mount Oliver Borough,2025,3588,356,6,54,7135,877,1651,152,5483,724,2023-04-17
Mount Washington (Pittsburgh),5968,10233,1229,11,75,21094,2542,4925,550,16149,1989,2023-04-17
Mt. Oliver (Pittsburgh),251,381,42,0,9,722,110,173,19,551,91,2023-04-17
Munhall,7009,12811,1517,37,206,24866,3053,4911,547,19962,2505,2023-04-17
Neville,662,947,112,4,15,2100,208,517,49,1583,159,2023-04-17
New Homestead (Pittsburgh),616,835,123,1,9,1927,270,420,61,1504,208,2023-04-17
North Braddock,2527,4940,830,8,78,9049,1109,2022,175,7028,934,2023-04-17
North Fayette,10026,14775,1387,28,113,30748,4017,9129,1222,21594,2786,2023-04-17
North Oakland (Pittsburgh),7188,7760,429,10,47,25660,1178,1983,122,23682,1053,2023-04-17
North Shore (Pittsburgh),687,588,30,0,3,2425,102,243,16,2178,85,2023-04-17
North Versailles,6282,11190,1437,23,217,21680,2765,5305,662,16362,2095,2023-04-17
Northview Heights (Pittsburgh),943,1744,236,7,28,3366,331,707,31,2660,300,2023-04-17
O'Hara,6383,7011,593,12,99,19304,1773,4200,397,15080,1368,2023-04-17
Oakdale,957,1868,147,6,21,3370,382,1081,110,2289,272,2023-04-17
Oakmont,6485,15296,2077,31,106,36934,1811,11293,363,25636,1448,2023-04-17
Oakwood (Pittsburgh),647,751,75,3,15,1831,237,430,49,1399,188,2023-04-17
Ohio,5210,10114,1759,7,48,20349,1841,4192,402,16094,1431,2023-04-17
Overbrook (Pittsburgh),2377,4807,480,9,48,8568,1074,2208,286,6349,783,2023-04-17
Penn Hills,26134,49672,6926,116,706,98521,10699,24525,2465,73975,8199,2023-04-17
Pennsbury Village,441,795,112,0,3,1608,210,470,62,1137,147,2023-04-17
Perry North (Pittsburgh),2657,4339,496,9,50,9028,1029,2159,187,6866,841,2023-04-17
Perry South (Pittsburgh),2935,4785,497,15,76,11067,1050,2782,149,8287,899,2023-04-17
Pine,10270,13507,1003,15,75,31233,3317,8300,782,22859,2514,2023-04-17
Pitcairn,1888,3465,376,12,54,7088,809,2029,214,5060,594,2023-04-17
Pleasant Hills,6011,11478,1249,37,113,22719,2583,5973,724,16778,1855,2023-04-17
Plum,17034,28237,3848,74,324,58221,6951,17283,2050,40884,4888,2023-04-17
Point Breeze (Pittsburgh),4620,4563,257,4,19,15693,912,2392,107,13297,803,2023-04-17
Point Breeze North (Pittsburgh),1566,2211,261,3,27,5782,443,869,60,4912,383,2023-04-17
Polish Hill (Pittsburgh),847,1306,78,0,11,3195,268,516,58,2677,210,2023-04-17
Port Vue,2432,5021,953,14,80,9240,1274,2403,238,6843,1035,2023-04-17
Rankin,869,1281,189,1,32,2648,331,383,31,2270,300,2023-04-17
Regent Square (Pittsburgh),777,889,54,2,5,2771,174,480,27,2289,147,2023-04-17
Reserve,2017,3010,241,8,37,6494,804,1587,172,4895,632,2023-04-17
Richland,8077,12586,1581,55,113,28605,2961,11436,800,17129,2140,2023-04-17
Ridgemont (Pittsburgh),322,550,38,1,1,916,135,243,41,672,94,2023-04-17
Robinson,11359,20433,2635,26,146,41452,4425,10282,1331,31150,3078,2023-04-17
